family_order_cn,family_order
ÎŞÓÍÕÁ³¬Ä¿,Amborellanae
ÎŞÓÍÕÁÄ¿,Amborellales
ÎŞÓÍÕÁ¿Æ,Amborellaceae
Ë¯Á«³¬Ä¿,Nymphaeanae
Ë¯Á«Ä¿,Nymphaeales
¶ÀÈï²İ¿Æ,Hydatellaceae
İ»²Ë¿Æ,Cabombaceae
Ë¯Á«¿Æ,Nymphaeaceae
Ä¾À¼ÌÙ³¬Ä¿,Austrobaileyanae
Ä¾À¼ÌÙÄ¿,Austrobaileyales
Ä¾À¼ÌÙ¿Æ,Austrobaileyaceae
°ú±»Ä¾¿Æ,Trimeniaceae
ÎåÎ¶×Ó¿Æ,Schisandraceae
Ä¾À¼³¬Ä¿,Magnolianae
°×ÕÁÄ¿,Canellales
°×ÕÁ¿Æ,Canellaceae
ÁÖÏÉ¿Æ,Winteraceae
ºú½·Ä¿,Piperales
Èı°×²İ¿Æ,Saururaceae
ºú½·¿Æ,Piperaceae
ÄÒ·Û»¨¿Æ,Lactoridaceae
±Ş¼ÄÉú¿Æ,Hydnoraceae
Âí¶µÁå¿Æ,Aristolochiaceae
Ä¾À¼Ä¿,Magnoliales
Èâ¶¹Ş¢¿Æ,Myristicaceae
Ä¾À¼¿Æ,Magnoliaceae
µ¥ĞÄÄ¾À¼¿Æ,Degeneriaceae
°êÈï»¨¿Æ,Himantandraceae
Ã±»¨Ä¾¿Æ,Eupomatiaceae
·¬ÀóÖ¦¿Æ,Annonaceae
ÕÁÄ¿,Laurales
À¯Ã·¿Æ,Calycanthaceae
Ì³¹Ş»¨¿Æ,Siparunaceae
¿üÀÖ¹û¿Æ,Gomortegaceae
ÏãÆ¤éß¿Æ,Atherospermataceae
Á«Ò¶Í©¿Æ,Hernandiaceae
ÓñÅÌ¹ğ¿Æ,Monimiaceae
ÕÁ¿Æ,Lauraceae
½ğËÚÀ¼Ä¿,Chloranthales
½ğËÚÀ¼¿Æ,Chloranthaceae
°ÙºÏ³¬Ä¿,Lilianae
İÅÆÑÄ¿,Acorales
İÅÆÑ¿Æ,Acoraceae
ÔóĞºÄ¿,Alismatales
ÌìÄÏĞÇ¿Æ,Araceae
ÑÒİÅÆÑ¿Æ,Tofieldiaceae
ÔóĞº¿Æ,Alismataceae
»¨İş¿Æ,Butomaceae
Ë®±î¿Æ,Hydrocharitaceae
±ùÕÓ²İ¿Æ,Scheuchzeriaceae
Ë®Ş³¿Æ,Aponogetonaceae
Ë®Âó¶¬¿Æ,Juncaginaceae
»¨ÏãÆÑ¿Æ,Maundiaceae
´óÒ¶Ôå¿Æ,Zosteraceae
ÑÛ×Ó²Ë¿Æ,Potamogetonaceae
º£Éñ²İ¿Æ,Posidoniaceae
´¨ÂûÔå¿Æ,Ruppiaceae
Ë¿·ÛÔå¿Æ,Cymodoceaceae
ÎŞÒ¶Á«Ä¿,Petrosaviales
ÎŞÒ¶Á«¿Æ,Petrosaviaceae
Êíİ÷Ä¿,Dioscoreales
ÕÓ½ğ»¨¿Æ,Nartheciaceae
Ë®Óñô¢¿Æ,Burmanniaceae
Êíİ÷¿Æ,Dioscoreaceae
Â¶¶µÊ÷Ä¿,Pandanales
Ã¹²İ¿Æ,Triuridaceae
ôäÈô´ä¿Æ,Velloziaceae
°Ù²¿¿Æ,Stemonaceae
»·»¨²İ¿Æ,Cyclanthaceae
Â¶¶µÊ÷¿Æ,Pandanaceae
°ÙºÏÄ¿,Liliales
´äÁâ»¨¿Æ,Campynemataceae
Ş¼Â«¿Æ,Melanthiaceae
»¨ĞëÌÙ¿Æ,Petermanniaceae
Áù³ö»¨¿Æ,Alstroemeriaceae
ÇïË®ÏÉ¿Æ,Colchicaceae
½ğÖÓÄ¾¿Æ,Philesiaceae
ÓãÂ¨ÌÙ¿Æ,Rhipogonaceae
İÃİÖ¿Æ,Smilacaceae
°×Óñô¢¿Æ,Corsiaceae
°ÙºÏ¿Æ,Liliaceae
ÌìÃÅ¶¬Ä¿,Asparagales
À¼¿Æ,Orchidaceae
ÄÍºµ²İ¿Æ,Boryaceae
»ğÁå»¨¿Æ,Blandfordiaceae
¾ÛĞÇ²İ¿Æ,Asteliaceae
Ñ©ÈŞÀ¼¿Æ,Lanariaceae
ÏÉÃ©¿Æ,Hypoxidaceae
À¶áÔÁ«¿Æ,Tecophilaeaceae
Ã¬»¨¿Æ,Doryanthaceae
ğ°Î²Ëâ¿Æ,Ixioliriaceae
ğ°Î²¿Æ,Iridaceae
ğ°Î²Âé¿Æ,Xeronemataceae
»ÆÖ¬Ä¾¿Æ,Xanthorrhoeaceae
Ê¯Ëâ¿Æ,Amaryllidaceae
ÌìÃÅ¶¬¿Æ,Asparagaceae
×ØéµÄ¿,Arecales
×Øéµ¿Æ,Arecaceae
Ñ¼õÅ²İÄ¿,Commelinales
²§×Ó²İ¿Æ,Hanguanaceae
Ñ¼õÅ²İ¿Æ,Commelinaceae
Ìï´Ğ¿Æ,Philydraceae
Óê¾Ã»¨¿Æ,Pontederiaceae
Ñª²İ¿Æ,Haemodoraceae
½ªÄ¿,Zingiberales
º×ÍûÀ¼¿Æ,Strelitziaceae
À¼»¨½¶¿Æ,Lowiaceae
Ğ«Î²½¶¿Æ,Heliconiaceae
°Å½¶¿Æ,Musaceae
ÃÀÈË½¶¿Æ,Cannaceae
ÖñÓó¿Æ,Marantaceae
±ÕÇÊ½ª¿Æ,Costaceae
½ª¿Æ,Zingiberaceae
¹Äé³²İÄ¿,Dasypogonales
¹Äé³²İ¿Æ,Dasypogonaceae
ºÌ±¾Ä¿,Poales
ÏãÆÑ¿Æ,Typhaceae
·ïÀæ¿Æ,Bromeliaceae
Ôóİş»¨¿Æ,Rapateaceae
»ÆÑÛ²İ¿Æ,Xyridaceae
¹È¾«²İ¿Æ,Eriocaulaceae
»¨Ë®Şº¿Æ,Mayacaceae
Ëó×Ó²İ¿Æ,Thurniaceae
µÆĞ¾²İ¿Æ,Juncaceae
É¯²İ¿Æ,Cyperaceae
Ë¢Öù²İ¿Æ,Anarthriaceae
´ÌÁÛ²İ¿Æ,Centrolepidaceae
ÖãµÆ²İ¿Æ,Restionaceae
ĞëÒ¶ÌÙ¿Æ,Flagellariaceae
ÄâÎ­¿Æ,Joinvilleaceae
¹µ¸Ñ²İ¿Æ,Ecdeiocoleaceae
ºÌ±¾¿Æ,Poaceae
½ğÓãÔå³¬Ä¿,Ceratophyllanae
½ğÓãÔåÄ¿,Ceratophyllales
½ğÓãÔå¿Æ,Ceratophyllaceae
Ã«İ¢³¬Ä¿,Ranunculanae
Ã«İ¢Ä¿,Ranunculales
Áì´ºÄ¾¿Æ,Eupteleaceae
ó¿ËÚ¿Æ,Papaveraceae
ĞÇÒ¶²İ¿Æ,Circaeasteraceae
Ä¾Í¨¿Æ,Lardizabalaceae
·À¼º¿Æ,Menispermaceae
Ğ¡éŞ¿Æ,Berberidaceae
Ã«İ¢¿Æ,Ranunculaceae
É½ÁúÑÛ³¬Ä¿,Proteanae
Çå·çÌÙÄ¿,Sabiales
Çå·çÌÙ¿Æ,Sabiaceae
É½ÁúÑÛÄ¿,Proteales
Á«¿Æ,Nelumbonaceae
ĞüÁåÄ¾¿Æ,Platanaceae
É½ÁúÑÛ¿Æ,Proteaceae
À¥À¸Ê÷³¬Ä¿,Trochodendranae
À¥À¸Ê÷Ä¿,Trochodendrales
À¥À¸Ê÷¿Æ,Trochodendraceae
»ÆÑî³¬Ä¿,Buxanae
»ÆÑîÄ¿,Buxales
ÎŞÖª¹û¿Æ,Haptanthaceae
»ÆÑî¿Æ,Buxaceae
ÕÛÉÈÒ¶³¬Ä¿,Myrothamnanae
´óÒ¶²İÄ¿,Gunnerales
´óÒ¶²İ¿Æ,Gunneraceae
ÕÛÉÈÒ¶¿Æ,Myrothamnaceae
Îåèâ¹û³¬Ä¿,Dillenianae
Îåèâ¹ûÄ¿,Dilleniales
Îåèâ¹û¿Æ,Dilleniaceae
»¢¶ú²İ³¬Ä¿,Saxifraganae
»¢¶ú²İÄ¿,Saxifragales
