GENUS,FAMILY,STATUS,URL
Aa,Orchidaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Aa/
Aaronsohnia,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Aaronsohnia/
Abacopteris,Thelypteridaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/P/Thelypteridaceae/Abacopteris/
Abarema,Leguminosae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Abarema/
Abatia,Salicaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Salicaceae/Abatia/
Abdominea,Orchidaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Abdominea/
Abelia,Caprifoliaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Caprifoliaceae/Abelia/
Abeliophyllum,Oleaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Oleaceae/Abeliophyllum/
Abelmoschus,Malvaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Abelmoschus/
Abies,Pinaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/G/Pinaceae/Abies/
Abietinella,Thuidiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Thuidiaceae/Abietinella/
Abobra,Cucurbitaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Cucurbitaceae/Abobra/
Abolboda,Xyridaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Xyridaceae/Abolboda/
Abrahamia,Anacardiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Anacardiaceae/Abrahamia/
Abrodictyum,Hymenophyllaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/P/Hymenophyllaceae/Abrodictyum/
Abroma,Malvaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Abroma/
Abronia,Nyctaginaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Nyctaginaceae/Abronia/
Abrophyllum,Rousseaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Rousseaceae/Abrophyllum/
Abrotanella,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Abrotanella/
Abrus,Leguminosae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Abrus/
Absinthium,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Absinthium/
Absolmsia,Apocynaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Apocynaceae/Absolmsia/
Abuta,Menispermaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Menispermaceae/Abuta/
Abutilon,Malvaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Abutilon/
Acacia,Leguminosae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acacia/
Acaciella,Leguminosae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acaciella/
Acaena,Rosaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Rosaceae/Acaena/
Acalypha,Euphorbiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Acalypha/
Acampe,Orchidaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acampe/
Acamptopappus,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acamptopappus/
Acanthella,Melastomataceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Acanthella/
Acanthephippium,Orchidaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acanthephippium/
Acanthocalycium,Cactaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Acanthocalycium/
Acanthocarpus,Asparagaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Asparagaceae/Acanthocarpus/
Acanthocephalus,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acanthocephalus/
Acanthocereus,Cactaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Acanthocereus/
Acanthochlamys,Velloziaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Velloziaceae/Acanthochlamys/
Acanthocladiella,Sematophyllaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Sematophyllaceae/Acanthocladiella/
Acanthocladium,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acanthocladium/
Acanthocladium,Sematophyllaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Sematophyllaceae/Acanthocladium/
Acanthocladus,Polygalaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Polygalaceae/Acanthocladus/
Acanthocoleus,Lejeuneaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Lejeuneaceae/Acanthocoleus/
Acanthodesmos,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acanthodesmos/
Acanthodium,Sematophyllaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Sematophyllaceae/Acanthodium/
Acanthogilia,Polemoniaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Polemoniaceae/Acanthogilia/
Acantholejeunea,Lejeuneaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Lejeuneaceae/Acantholejeunea/
Acantholimon,Plumbaginaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Plumbaginaceae/Acantholimon/
Acantholippia,Verbenaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Verbenaceae/Acantholippia/
Acanthomintha,Lamiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Acanthomintha/
Acanthonema,Gesneriaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Acanthonema/
Acanthopale,Acanthaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Acanthopale/
Acanthophoenix,Arecaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Arecaceae/Acanthophoenix/
Acanthophyllum,Caryophyllaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Caryophyllaceae/Acanthophyllum/
Acanthoprasium,Lamiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Acanthoprasium/
Acanthopsis,Acanthaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Acanthopsis/
Acanthorrhinum,Plantaginaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Plantaginaceae/Acanthorrhinum/
Acanthorrhynchium,Sematophyllaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Sematophyllaceae/Acanthorrhynchium/
