NAME_CN,SCIENTIFIC_NAME
六道木属,Abelia
六道木屬,Abelia
醉鱼草状六道木,Abelia buddleioides W. W. Smith
醉魚草狀六道木,Abelia buddleioides W. W. Smith
糯米条,Abelia chinensis R. Br.
糯米條,Abelia chinensis R. Br.
南方六道木,Abelia dielsii (Graebn.) Rehd.
蓪梗花,Abelia engleriana (Graebn.) Rehd.
细瘦六道木,Abelia forrestii (Diels) W. W. Smith
細瘦六道木,Abelia forrestii (Diels) W. W. Smith
二翅六道木,Abelia macrotera (Graebn. et Buchw.) Rehd.
小叶六道木,Abelia parvifolia Hemsl.
小葉六道木,Abelia parvifolia Hemsl.
伞花六道木,Abelia umbellata (Graebn. et Buchw.) Rehd.
傘花六道木,Abelia umbellata (Graebn. et Buchw.) Rehd.
秋葵属,Abelmoschus
秋葵屬,Abelmoschus
長毛黃葵,Abelmoschus crinitus Wall.
长毛黄葵,Abelmoschus crinitus Wall.
咖啡黄葵,Abelmoschus esculentus (L.) Moench
咖啡黃葵,Abelmoschus esculentus (L.) Moench
黄蜀葵,Abelmoschus manihot (L.) Medicus
黃蜀葵,Abelmoschus manihot (L.) Medicus
刚毛黄蜀葵,Abelmoschus manihot var. pungens (Roxb.) Hochr.
剛毛黃蜀葵,Abelmoschus manihot var. pungens (Roxb.) Hochr.
黄葵,Abelmoschus moschatus (L.) Medik.
黃葵,Abelmoschus moschatus (L.) Medik.
木里秋葵,Abelmoschus muliensis K. M. Feng
木裏秋葵,Abelmoschus muliensis K. M. Feng
箭叶秋葵,Abelmoschus sagittifolius (Kurz) Merr.
箭葉秋葵,Abelmoschus sagittifolius (Kurz) Merr.
冷杉属,Abies
冷杉屬,Abies
百山祖冷杉,Abies beshanzuensis M. H. Wu
察隅冷杉,Abies chayuensis C. Y. Cheng et L. K. Fu
秦岭冷杉,Abies chensiensis Tiegh.
秦嶺冷杉,Abies chensiensis Tiegh.
苍山冷杉,Abies delavayi Franch.
蒼山冷杉,Abies delavayi Franch.
墨脱冷杉,Abies delavayi var. motuoensis Cheng et L. K. Fu
墨脫冷杉,Abies delavayi var. motuoensis Cheng et L. K. Fu
黄果冷杉,Abies ernestii Rehd.
黃果冷杉,Abies ernestii Rehd.
云南黄果冷杉,Abies ernestii var. salouenensis (Borderes-Rey et Gaussen) Cheng et L. K. Fu
雲南黃果冷杉,Abies ernestii var. salouenensis (Borderes-Rey et Gaussen) Cheng et L. K. Fu
冷杉,Abies fabri (Mast.) Craib
巴山冷杉,Abies fargesii Franch.
岷江冷杉,Abies faxoniana Rehd.
中甸冷杉,Abies ferreana Bordères et Gaussen
日本冷杉,Abies firma Siebold et Zucc.
川滇冷杉,Abies forrestii Coltm.-Rog.
长苞冷杉,Abies georgei Orr
長苞冷杉,Abies georgei Orr
急尖长苞冷杉,Abies georgei var. smithii (Viguie et Gaussen) Cheng et L.
急尖長苞冷杉,Abies georgei var. smithii (Viguie et Gaussen) Cheng et L.
杉松,Abies holophylla Maxim.
台湾冷杉,Abies kawakamii (Hayata) T. Ito
臺灣冷杉,Abies kawakamii (Hayata) T. Ito
臭冷杉,Abies nephrolepis (Trautv.) Maxim.
怒江冷杉,Abies nukiangensis C. Y. Cheng et L. K. Fu
紫果冷杉,Abies recurvata Mast.
新疆冷杉,Abies sibirica Ledeb.
西藏冷杉,Abies spectabilis (D. Don) Spach
鳞皮冷杉,Abies squamata Mast.
鱗皮冷杉,Abies squamata Mast.
長片蕨屬,Abrodictyum
长片蕨属,Abrodictyum
長片蕨,Abrodictyum cumingii C. Presl
长片蕨,Abrodictyum cumingii C. Presl
相思子属,Abrus
相思子屬,Abrus
广州相思子,Abrus cantoniensis Hance
廣州相思子,Abrus cantoniensis Hance
毛相思子,Abrus mollis Hance
相思子,Abrus precatorius L.
美丽相思子,Abrus pulchellus Wall. ex Thwaites
美麗相思子,Abrus pulchellus Wall. ex Thwaites
滑藤属,Absolmsia
滑藤屬,Absolmsia
滑藤,Absolmsia oligophylla Tsiang
苘麻属,Abutilon
檾麻屬,Abutilon
泡果苘,Abutilon crispum (L.) Medicus
泡果檾,Abutilon crispum (L.) Medicus
滇西苘麻,Abutilon gebauerianum Hand.-Mazz.
滇西檾麻,Abutilon gebauerianum Hand.-Mazz.
恶味苘麻,Abutilon hirtum (Lam.) Sweet
惡味檾麻,Abutilon hirtum (Lam.) Sweet
元谋恶味筒麻,Abutilon hirtum var. yuanmouense K. M. Feng
元謀惡味筒麻,Abutilon hirtum var. yuanmouense K. M. Feng
磨盘草,Abutilon indicum (L.) Sweet
磨盤草,Abutilon indicum (L.) Sweet
小花磨盘草,Abutilon indicum var. forrestii (S. Y. Hu) Feng
小花磨盤草,Abutilon indicum var. forrestii (S. Y. Hu) Feng
几内亚磨盘草,Abutilon indicum var. guineense (Schumach.) Feng
幾內亞磨盤草,Abutilon indicum var. guineense (Schumach.) Feng
圆锥苘麻,Abutilon paniculatum Hand.-Mazz.
圓錐檾麻,Abutilon paniculatum Hand.-Mazz.
红花苘麻,Abutilon roseum Hand.-Mazz.
紅花檾麻,Abutilon roseum Hand.-Mazz.
华苘麻,Abutilon sinense Oliv.
華檾麻,Abutilon sinense Oliv.
无齿华苘麻,Abutilon sinense var. edentatum Feng
無齒華檾麻,Abutilon sinense var. edentatum Feng
金铃花,Abutilon striatum Dickson
金鈴花,Abutilon striatum Dickson
苘麻,Abutilon theophrasti Medik.
檾麻,Abutilon theophrasti Medik.
金合欢属,Acacia
金合歡屬,Acacia
大叶相思,Acacia auriculiformis A. Cunn. ex Benth.
大葉相思,Acacia auriculiformis A. Cunn. ex Benth.
耳果相思,Acacia auriculiformis A. Cunn. ex Benth.
尖叶相思,Acacia caesia (L.) Willd.
尖葉相思,Acacia caesia (L.) Willd.
儿茶,Acacia catechu (L. f.) Willd.
兒茶,Acacia catechu (L. f.) Willd.
台湾相思,Acacia confusa Merr.
臺灣相思,Acacia confusa Merr.
银荆,Acacia dealbata Link
銀荊,Acacia dealbata Link
线叶金合欢,Acacia decurrens Willd.
線葉金合歡,Acacia decurrens Willd.
光叶金合欢,Acacia delavayi Franch.
光葉金合歡,Acacia delavayi Franch.
金合欢,Acacia farnesiana (L.) Willd.
金合歡,Acacia farnesiana (L.) Willd.
灰金合欢,Acacia glauca (L.) Moench
灰金合歡,Acacia glauca (L.) Moench
马占相思,Acacia mangium Willd.
馬占相思,Acacia mangium Willd.
黑荆,Acacia mearnsii De Wild.
黑荊,Acacia mearnsii De Wild.
钝叶金合欢,Acacia megaladena Desv.
鈍葉金合歡,Acacia megaladena Desv.
阿拉伯金合欢,Acacia nilotica (L.) Willd. ex Delile
阿拉伯金合歡,Acacia nilotica (L.) Willd. ex Delile
羽叶金合欢,Acacia pennata (L.) Willd.
羽葉金合歡,Acacia pennata (L.) Willd.
珍珠合欢,Acacia podalyriifolia G.Don
珍珠合歡,Acacia podalyriifolia G.Don
粉被金合欢,Acacia pruinescens var. luchunensis C. Chen et H. Sun
粉被金合歡,Acacia pruinescens var. luchunensis C. Chen et H. Sun
阿拉伯胶树,Acacia senegal (L.) Willd.
阿拉伯膠樹,Acacia senegal (L.) Willd.
藤金合欢,Acacia sinuata (Lour.) Merr.
藤金合歡,Acacia sinuata (Lour.) Merr.
无刺金合欢,Acacia teniana Harms
無刺金合歡,Acacia teniana Harms
云南相思树,Acacia yunnanensis Franch.
雲南相思樹,Acacia yunnanensis Franch.
铁苋菜属,Acalypha
鐵莧菜屬,Acalypha
尾叶铁苋菜,Acalypha acmophylla Hemsl.
尾葉鐵莧菜,Acalypha acmophylla Hemsl.
屏东铁苋菜,Acalypha akoensis Hayata
屏東鐵莧菜,Acalypha akoensis Hayata
台湾铁苋菜,Acalypha angatensis Blanco
臺灣鐵莧菜,Acalypha angatensis Blanco
铁苋菜,Acalypha australis L.
鐵莧菜,Acalypha australis L.
裂苞铁苋菜,Acalypha brachystachya Hornem
裂苞鐵莧菜,Acalypha brachystachya Hornem
尖尾铁苋菜,Acalypha caturus Blume
尖尾鐵莧菜,Acalypha caturus Blume
海南铁苋菜,Acalypha hainanensis Merr. et Chun
海南鐵莧菜,Acalypha hainanensis Merr. et Chun
红穗铁苋菜,Acalypha hispida Burm. f.
紅穗鐵莧菜,Acalypha hispida Burm. f.
狗尾红,Acalypha hispida Burm.f.
狗尾紅,Acalypha hispida Burm.f.
热带铁苋菜,Acalypha indica L.
熱帶鐵莧菜,Acalypha indica L.
卵叶铁苋菜,Acalypha kerrii Craib
卵葉鐵莧菜,Acalypha kerrii Craib
麻叶铁苋菜,Acalypha lanceolata Willd.
麻葉鐵莧菜,Acalypha lanceolata Willd.
毛叶铁苋菜,Acalypha mairei (H. Levl.) C. K. Schneid.
毛葉鐵莧菜,Acalypha mairei (H. Levl.) C. K. Schneid.
恒春铁苋菜,Acalypha matsudai Hayata
恒春鐵莧菜,Acalypha matsudai Hayata
丽江铁苋菜,Acalypha schneideriana Pax et Hoffm.
麗江鐵莧菜,Acalypha schneideriana Pax et Hoffm.
菱叶铁苋菜,Acalypha siamensis Oliv. ex Gage
菱葉鐵莧菜,Acalypha siamensis Oliv. ex Gage
花莲铁苋菜,Acalypha suirenbiensis Yamam.
花蓮鐵莧菜,Acalypha suirenbiensis Yamam.
金边红桑,Acalypha wilkesiana 'Marginata'
金邊紅桑,Acalypha wilkesiana 'Marginata'
白边红桑,Acalypha wilkesiana Muell. Arg.
白邊紅桑,Acalypha wilkesiana Muell. Arg.
红桑,Acalypha wilkesiana Muell.-Arg.
紅桑,Acalypha wilkesiana Muell.-Arg.
脆兰属,Acampe
脆蘭屬,Acampe
窄果脆兰,Acampe ochracea (Lindl.) Hochr.
窄果脆蘭,Acampe ochracea (Lindl.) Hochr.
短序脆兰,Acampe papillosa (Lindl.) Lindl.
短序脆蘭,Acampe papillosa (Lindl.) Lindl.
多花脆兰,Acampe rigida (Buch.-Ham. ex J. E. Smith) P. F. Hunt
多花脆蘭,Acampe rigida (Buch.-Ham. ex J. E. Smith) P. F. Hunt
爵床科,Acanthaceae
坛花兰属,Acanthephippium
壇花蘭屬,Acanthephippium
中华坛花兰,Acanthephippium sinense Rolfe
中華壇花蘭,Acanthephippium sinense Rolfe
锥囊坛花兰,Acanthephippium striatum Lindl.
錐囊壇花蘭,Acanthephippium striatum Lindl.
坛花兰,Acanthephippium sylhetense Lindl.
壇花蘭,Acanthephippium sylhetense Lindl.
芒苞草属,Acanthochlamys
芒苞草屬,Acanthochlamys
芒苞草,Acanthochlamys bracteata P. C. Kao
彩花属,Acantholimon
彩花屬,Acantholimon
刺叶彩花,Acantholimon alatavicum Bunge
刺葉彩花,Acantholimon alatavicum Bunge
光萼彩花,Acantholimon alatavicum var. laevigatum Peng
细叶彩花,Acantholimon borodinii Krasn.
細葉彩花,Acantholimon borodinii Krasn.
小叶彩花,Acantholimon diapensioides Boiss.
小葉彩花,Acantholimon diapensioides Boiss.
彩花,Acantholimon hedinii Ostenf.
浩罕彩花,Acantholimon kokandense Bunge ex Regel
乌恰彩花,Acantholimon popovii Czerniak.
烏恰彩花,Acantholimon popovii Czerniak.
天山彩花,Acantholimon tianschanicum Czerniak.
五加属,Acanthopanax
五加屬,Acanthopanax
短柄五加,Acanthopanax brachypus Harms
乌蔹莓五加,Acanthopanax cissifolius (Griff.) Harms
烏蘞莓五加,Acanthopanax cissifolius (Griff.) Harms
尾叶五加,Acanthopanax cuspidatus Hoo
尾葉五加,Acanthopanax cuspidatus Hoo
两歧五加,Acanthopanax divaricatus (Sieb. Zucc.) Seem.
兩歧五加,Acanthopanax divaricatus (Sieb. Zucc.) Seem.
离柱五加,Acanthopanax eleutheristylus Hoo
離柱五加,Acanthopanax eleutheristylus Hoo
单叶离柱五加,Acanthopanax eleutheristylus var. simplex Hoo
單葉離柱五加,Acanthopanax eleutheristylus var. simplex Hoo
锈毛吴茱萸五加,Acanthopanax evodiaefolius var. ferrugineus
鏽毛吳茱萸五加,Acanthopanax evodiaefolius var. ferrugineus
銹毛吳茱萸五加,Acanthopanax evodiaefolius var. ferrugineus
细梗吴茱萸五加,Acanthopanax evodiaefolius var. gracilis W. W. Smith
細梗吳茱萸五加,Acanthopanax evodiaefolius var. gracilis W. W. Smith
红毛五加,Acanthopanax giraldii Harms
紅毛五加,Acanthopanax giraldii Harms
毛梗红毛五加,Acanthopanax giraldii var. hispidus Hoo
毛梗紅毛五加,Acanthopanax giraldii var. hispidus Hoo
毛叶红毛五加,Acanthopanax giraldii var. pilosulus Rehd.
毛葉紅毛五加,Acanthopanax giraldii var. pilosulus Rehd.
短毛五加,Acanthopanax gracilistylus var. gubescens (Pampanin) Li
大叶五加,Acanthopanax gracilistylus var. major Hoo
大葉五加,Acanthopanax gracilistylus var. major Hoo
糙毛五加,Acanthopanax gracilistylus var. nodiflorus (Dunn) Li
柔毛五加,Acanthopanax gracilistylus var. villosulus (Harms) Li
五加,Acanthopanax gracilistylus W. W. Smith
糙叶五加,Acanthopanax henryi (Oliv.) Harms
糙葉五加,Acanthopanax henryi (Oliv.) Harms
毛梗糙叶五加,Acanthopanax henryi var. faberi Harms
毛梗糙葉五加,Acanthopanax henryi var. faberi Harms
康定五加,Acanthopanax lasiogyne Harms
藤五加,Acanthopanax leucorrhizus (Oliv.) Harms
腋毛藤五加,Acanthopanax leucorrhizus var. axillaritomentosus Hoo
糙叶藤五加,Acanthopanax leucorrhizus var. fulvescens Harms Rehd.
糙葉藤五加,Acanthopanax leucorrhizus var. fulvescens Harms Rehd.
狭叶藤五加,Acanthopanax leucorrhizus var. scaberulus Harms Rehd.
狹葉藤五加,Acanthopanax leucorrhizus var. scaberulus Harms Rehd.
倒卵叶五加,Acanthopanax obovatus Hoo
倒卵葉五加,Acanthopanax obovatus Hoo
匙叶五加,Acanthopanax rehderianus Harms
匙葉五加,Acanthopanax rehderianus Harms
長梗匙葉五加,Acanthopanax rehderianus var. longipedunculatus Hoo
长梗匙叶五加,Acanthopanax rehderianus var. longipedunculatus Hoo
匍匐五加,Acanthopanax scandens Hoo
刺五加,Acanthopanax senticosus (Rupr. Maxim.) Harms
小果无梗五加,Acanthopanax sessiliflorus var. parviceps Rehd.
小果無梗五加,Acanthopanax sessiliflorus var. parviceps Rehd.
蜀五加,Acanthopanax setchuenensis Harms
阔叶蜀五加,Acanthopanax setchuenensis var. latifoliatus Hoo
闊葉蜀五加,Acanthopanax setchuenensis var. latifoliatus Hoo
细刺五加,Acanthopanax setulosus Franch.
細刺五加,Acanthopanax setulosus Franch.
异株五加,Acanthopanax sieboldianus Makino
異株五加,Acanthopanax sieboldianus Makino
刚毛五加,Acanthopanax simonii Schneid.
剛毛五加,Acanthopanax simonii Schneid.
長梗剛毛五加,Acanthopanax simonii var. longipedicellatus Hoo
长梗刚毛五加,Acanthopanax simonii var. longipedicellatus Hoo
中华五加,Acanthopanax sinensis Hoo
中華五加,Acanthopanax sinensis Hoo
太白山五加,Acanthopanax stenophyllus Harms
刚毛白簕,Acanthopanax trifoliatus var. setosus Li
剛毛白簕,Acanthopanax trifoliatus var. setosus Li
轮伞五加,Acanthopanax verticillatus Hoo
輪傘五加,Acanthopanax verticillatus Hoo
狭叶五加,Acanthopanax wilsonii Harms
狹葉五加,Acanthopanax wilsonii Harms
云南五加,Acanthopanax yui Li
雲南五加,Acanthopanax yui Li
刺叶属,Acanthophyllum
刺葉屬,Acanthophyllum
刺叶,Acanthophyllum pungens (Ledebour) Boissier
刺葉,Acanthophyllum pungens (Ledebour) Boissier
刺苞果属,Acanthospermum
刺苞果屬,Acanthospermum
刺苞果,Acanthospermum australe (L.) Kuntze
老鼠簕属,Acanthus
老鼠簕屬,Acanthus
小花老鼠簕,Acanthus ebracteatus Vahl.
厦门老鼠簕,Acanthus ebracteatus var. xiamenensis (R. T. Zhang) C. Y. Wu et C. C. Hu
廈門老鼠簕,Acanthus ebracteatus var. xiamenensis (R. T. Zhang) C. Y. Wu et C. C. Hu
老鼠簕,Acanthus ilicifolius L.
刺苞老鼠簕,Acanthus leucostachyus Wall. ex Nees
槭属,Acer
槭屬,Acer
锐角槭,Acer acutum Fang
銳角槭,Acer acutum Fang
五裂锐角槭,Acer acutum var. quinquefidum Fang et P. L. Chiu
五裂銳角槭,Acer acutum var. quinquefidum Fang et P. L. Chiu
天童锐角槭,Acer acutum var. tientungense Fang et Fang f.
天童銳角槭,Acer acutum var. tientungense Fang et Fang f.
紫白槭,Acer albopurpurascens Hayata
阔叶槭,Acer amplum Rehd. var. amplum
闊葉槭,Acer amplum Rehd. var. amplum
凸果阔叶槭,Acer amplum var. convexum (Fang) Fang
凸果闊葉槭,Acer amplum var. convexum (Fang) Fang
天台阔叶槭,Acer amplum var. tientaiense (Schneid.) Rehd.
天臺闊葉槭,Acer amplum var. tientaiense (Schneid.) Rehd.
短翅安徽槭,Acer anhweiense var. brachypterum Fang et P. L. Chiu
髭脉槭,Acer barbinerve Maxim.
髭脈槭,Acer barbinerve Maxim.
两色槭,Acer bicolor F. Chun
兩色槭,Acer bicolor F. Chun
粗齿两色槭,Acer bicolor var. serratifolium (Fang) Fang
粗齒兩色槭,Acer bicolor var. serratifolium (Fang) Fang
